XID,Project Name,Location,Price Range,Price per Sqft,Project Status,Configurations,Unit Sizes,Builder,Total Number of Units,Project Size,Launch Date,Completion Date,Locality,Micro Market,USP,Builder URL,Builder Experience,Ongoing Projects,Past Projects,RERA Number,Specifications,Sports Amenities,Convenience Amenities,Safety Amenities,Environment Amenities,Leisure Amenities
r269167,Godrej Golf Link Villas,"Sector 27 Yamuna Expressway, Greater Noida",Rs2.48 Cr - 6.48 Cr,N/A,Ready to Move,"3, 4, 5 BHK",2359 Sq. Ft to 6168 Sq. Ft (Saleable),Godrej,1158 units,100 Acres,Ask for Details,"Feb 28, 2022",Sector 27 Yamuna Expressway,Yamuna Expressway,,https://www.squareyards.com/godrej-projects/49/builder,29 Years Experience,61,150,UPRERAAGT10119,"Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Fittings & Fixtures: Wardrobes; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Kitchen-Equipments: Modular Kitchen, Hob, Chimney, Refrigrator, Microwave; Bathroom: Geyser; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Cricket; Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Heated Swimming Pool; Golf Course,Power Backup; Restaurant; Medical Facility; Pet Area; 24*7 Water Supply,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone,Rain Water Harvesting; Sewage Treatment Plant; Eco Friendly; Large Green Area,Dance Room; Mini Theatre; Reading Room/Library; Sauna; Party Hall; Cards Room; Amphitheater; Indoor Games; Spa; Luxurious Clubhouse; Jacuzzi; High Street Retail; Senior Citizen Area
r428601,Kochar Jewel,"Velachery, Chennai",Rs1.84 Cr - 3.16 Cr,"Rs12,999 Per Sq. Ft",New Launch,"2, 3, 4 BHK",1416 Sq. Ft to 2433 Sq. Ft (Saleable),Kochar Homes,98 units,4.19 Acres,Ask for Details,Ask for Details,Velachery,Chennai South,,https://www.squareyards.com/kochar-homes-projects/16590/builder,N/A,2,1,Delhi/Agent/0027/2017,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Kids' Play Areas / Sand Pits; Jogging / Cycle Track,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security,Sewage Treatment Plant; Normal Park / Central Green; Solar Lighting,Indoor Games
r426628,Assetz Promise of Spring,"Devanahalli, Bangalore",Rs1.05 Cr - 2.10 Cr,"Rs7,000 Per Sq. Ft",New Launch,Ask for Details,1500 Sq. Ft to 3000 Sq. Ft (Saleable),Assetz Homes,316 units,23 Acres,Ask for Details,Ask for Details,Devanahalli,North Bangalore,"Sports enthusiasts will love the state-of-the-art gym facility.,24x7 security ensures utmost safety for families.,Immerse yourself in a good book at the library.,Rainwater harvesting for sustainable living.,Pet owners welcome, thanks to the designated pet area.",https://www.squareyards.com/assetz-homes-projects/429/builder,N/A,9,33,PRM/KA/RERA/1251/310/AG/171114/000400,N/A,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Football; Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Pet Area; 24*7 Water Supply; Separate Enrty /Exit Gates; Party Lawn,24 x 7 Security,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Reading Room/Library; Sauna; Party Hall; Clubhouse
r394754,Subham Build Well,"Sree Nagar, Guwahati",Rs76.40 Lac - 1.15 Cr,"Rs5,000 Per Sq. Ft",Advanced Stage,"3, 4 BHK",1528 Sq. Ft to 2301 Sq. Ft,Subham Group,312 units,6.81 Acres,Ask for Details,Ask for Details,Sree Nagar,Guwahati East,,https://www.squareyards.com/subham-group-projects/2810/builder,N/A,1,6,N/A,N/A,Kids' Play Areas / Sand Pits,Power Backup,24 x 7 Security,N/A,Clubhouse
r263555,Piramal Aranya,"Byculla, Mumbai",Rs4.20 Cr - 13.60 Cr,"Rs51,985 Per Sq. Ft",Partially Ready To Move,"2, 3, 4 BHK",760 Sq. Ft to 2850 Sq. Ft (Carpet),Piramal Realty,1350 units,7.63 Acres,Ask for Details,"Dec 30, 2023",Byculla,Mumbai Harbour,,https://www.squareyards.com/piramal-realty-projects/2177/builder,7 Years Experience,2,31,A51800000454,"Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Kitchen-Equipments: Modular Kitchen; Bathroom: Shower Panel, Premium Bath Fittings; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; Treated Water Supply; Pet Area; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Cafe / Coffee Bar; Reading Room/Library; Party Hall; Clubhouse; Amphitheater; Indoor Games; Spa; Obeservatory Deck; High Street Retail
r433760,Rajvansh Shivoy High Street,"Raj Nagar Extension, Ghaziabad",Rs1.46 Cr,N/A,Under Construction,Ask for Details,153 Sq. Ft to 697 Sq. Ft (Saleable),Rajvansh Infracon Pvt Ltd,216 units,1 Acres,Ask for Details,Ask for Details,Raj Nagar Extension,Ghaziabad City,"Strategically located near Hapur Road and Meerut Bypass Road for easy access,Enjoy reliable power backup for uninterrupted business operations,24/7 security ensures a safe and secure environment for your business,RCC Frame Structure provides a solid foundation for your commercial venture,Become a part of Rajvansh Shivoy High Street, a RERA approved commercial project,Choose from spacious retail shops ranging from 153 to 697 sq. ft.",https://www.squareyards.com/rajvansh-infracon-pvt-ltd-projects/19709/builder,N/A,1,N/A,UPRERAAGT10119,Structure: RCC Frame Structure,Gymnasium; Kids' Play Areas / Sand Pits,Power Backup; Restaurant; Medical Facility; High speed escalators; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems,Normal Park / Central Green,Cafe / Coffee Bar; Spa; Multi Brand Retail; High Street Retail
r406711,NL Aryavarta,"Dahisar East, Mumbai",Rs1.52 Cr - 2.12 Cr,"Rs20,705 Per Sq. Ft",Ready to Move,"2, 3 BHK",702 Sq. Ft to 981 Sq. Ft (Carpet),Nahalchand Laloochand,358 units,1.47 Acres,Ask for Details,Ask for Details,Dahisar East,Mumbai Western Suburbs,,https://www.squareyards.com/nahalchand-laloochand-projects/1239/builder,N/A,3,N/A,A51800000454,"Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Kitchen-Equipments: Modular Kitchen; Bathroom: Shower Panel, Geyser, Premium Bath Fittings; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Badminton Court(s); Tennis Court(s); Squash Court; Kids' Play Areas / Sand Pits; Volleyball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Normal Park / Central Green,Party Hall; Clubhouse; Indoor Games
r399974,Royal Courtyard 62,"Sector 62, Gurgaon",Rs54.00 Lac - 1.78 Cr,"Rs27,000 Per Sq. Ft",Under Construction,Ask for Details,200 Sq. Ft to 660 Sq. Ft (Saleable),Royal Green Realty,148 units,5.78 Acres,Ask for Details,Ask for Details,Sector 62,Golf Course Extension,"Golf Course Road and Golf Course Extension Road connectivity, seamless living.,Exclusive location in Sector 62, Gurgaon, for a peaceful lifestyle.,Sturdy RCC Frame Structure for durable construction.,Power backup and 24x7 security for a worry-free stay.,Prime investment opportunity with RERA certified project.",https://www.squareyards.com/royal-green-realty-projects/11996/builder,N/A,1,2,660/2017/307,Structure: RCC Frame Structure,N/A,N/A,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Smoke/Heat Sensors; Emergency Rescue / Alarms,N/A,Cafe / Coffee Bar; Multi Brand Retail; High Street Retail; Hypermarket; Food Court
r417017,Alliance Jasmine Springs,"Kelambakkam, Chennai",Rs11.62 Lac - 28.52 Lac,N/A,Mid Stage,"1, 2 BHK",Ask for Details,Alliance Group,569 units,2 Acres,Ask for Details,Ask for Details,Kelambakkam,Chennai South,"Experience serene township living in Kelambakkam, Chennai.,Certified under RERA TN/01/Building/0176/2018 for transparency.,Stroll through picturesque surroundings in Alliance Jasmine Springs.,Discover a new way of living in this gated community.,Strategically located near major connections for easy commute.",https://www.squareyards.com/alliance-group-projects/1758/builder,14 Years Experience,41,N/A,Delhi/Agent/0027/2017,N/A,N/A,N/A,N/A,N/A,N/A
r347957,INDIS Viva City,"Kondapur, Hyderabad",Rs1.23 Cr - 2.34 Cr,"Rs7,403 Per Sq. Ft",Under Construction,"2, 3 BHK",1367 Sq. Ft to 2595 Sq. Ft (Saleable),Indis Group Incor,629 units,7.93 Acres,Ask for Details,"Jan 17, 2020",Kondapur,West Zone,,https://www.squareyards.com/indis-group-incor-projects/2496/builder,12 Years Experience,5,14,REA02400000010,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Badminton Court(s); Squash Court; Cricket; Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Gazebo,Power Backup; Attached Market; 24*7 Water Supply; ATM's; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Normal Park / Central Green,Cafe / Coffee Bar; Party Hall; Clubhouse; Indoor Games; Spa
r62235,Mahindra Luminare,"Sector 59, Gurgaon",Rs6.57 Cr - 7.97 Cr,N/A,Partially Ready To Move,"3, 4 BHK",2985 Sq. Ft to 3625 Sq. Ft (Saleable),Mahindra Lifespaces,500 units,7 Acres,Ask for Details,"Dec 30, 2021",Sector 59,Golf Course Extension,"World-Class 3 BHK apartments,World-Class 3 BHK apartments,Close to Sector 55-56 Rapid Metro,AV Rooms/Spa/Card Rooms,2985 Sq.Ft. of Aggregated Land,The multi-story towers offer stunning 360-degree views of the surrounding area,Located in Sector 59, Gurgaon, with excellent connectivity to the city,Hosts advanced security systems for resident safety,Reputed for robust and solid construction quality,Developed by Mahindra Lifespaces, a well-known name in the real estate sector",https://www.squareyards.com/mahindra-lifespaces-projects/68/builder,25 Years Experience,14,72,660/2017/307,"Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Laminated Wooden; Fittings & Fixtures: VRV AC Fittings; Other Bedrooms-Flooring: Laminated Wooden; Walls: Acrylic Emulsion; Living Area-Flooring: Laminated Wooden; Kitchen-Equipments: Modular Kitchen, Hob, Chimney; Bathroom: Shower Panel, Geyser, Premium Bath Fittings, Exhaust Fan; Ceilings: More than 9 Ft; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; Restaurant; Home Automation; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Smoke/Heat Sensors; Smart Card Access; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Eco Friendly; Large Green Area,Mini Theatre; Party Hall; Cards Room; Clubhouse; Amphitheater; Indoor Games; Spa
r409559,Nirman Greens,"Bablatala, Kolkata",Rs47.84 Lac - 69.68 Lac,"Rs5,200 Per Sq. Ft",Ready to Move,"2, 3 BHK",920 Sq. Ft to 1340 Sq. Ft (Saleable),Nirman Group of Companies,70 units,3 Acres,Ask for Details,Ask for Details,Bablatala,East Kolkata,,https://www.squareyards.com/nirman-group-of-companies-projects/8432/builder,N/A,4,N/A,HIRA/A/NOR/2018/000035,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Kids' Pool; Badminton Court(s); Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Normal Park / Central Green,Party Hall; Indoor Games
r428204,Mansha Heritage,"Kumaspur, Sonipat",Price on Request,N/A,New Launch,Ask for Details,Ask for Details,Mansha Buildcon,222 units,Ask for Details,Ask for Details,Ask for Details,Kumaspur,Sonipat East,"Inspiring architecture in Mansha Heritage, Kumaspur.,Reliable power backup for uninterrupted living.,Sleek interiors and oil-bound distemper walls.,Vitrified tiles flooring in master bedroom.,State-of-the-art gymnasium for a healthy lifestyle.",https://www.squareyards.com/mansha-buildcon-projects/27806/builder,N/A,1,N/A,N/A,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Badminton Court(s); Kids' Play Areas / Sand Pits; Yoga Areas; Gazebo,Power Backup,CCTV / Video Surveillance,Rain Water Harvesting; Sewage Treatment Plant,Amphitheater
r391879,SVB Maple Woods,"Varthur, Bangalore",Rs72.00 Lac - 1.08 Cr,N/A,New Launch,Ask for Details,1200 Sq. Ft to 1800 Sq. Ft (Saleable),SVB Developers,47 units,3 Acres,Ask for Details,Ask for Details,Varthur,East Bangalore,"Near Dabaspete Hosur Highway and Varthur Main Road connectivity.,Near Dabaspete Hosur Highway and Varthur Main Road connectivity.,24/7 security for a safe living experience.,Rainwater harvesting and 24*7 water supply.,Kids ' play areas and sand pits for recreation.,Strategically located in Varthur, Bangalore.",https://www.squareyards.com/svb-developers-projects/22734/builder,N/A,1,N/A,PRM/KA/RERA/1251/310/AG/171114/000400,N/A,Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track,24*7 Water Supply,24 x 7 Security; CCTV / Video Surveillance,Rain Water Harvesting; Sewage Treatment Plant; Normal Park / Central Green; Solar Lighting; Eco Friendly,N/A
r402494,Concorde Equity,"Malur, Bangalore",Rs38.38 Lac - 76.72 Lac,N/A,Ready to Move,Ask for Details,1163 Sq. Ft to 2325 Sq. Ft (Saleable),Concorde Group,305 units,21.66 Acres,Ask for Details,Ask for Details,Malur,East Bangalore,"Elite residences in Malur, proximity to Hosur Road,Power backup and 24/7 security ensure comfort,Spacious apartments with large green area,State-of-the-art gym and party hall amenities,Compliant with PRM/KA/RERA/1265/347/PR/151222/005525 License",https://www.squareyards.com/concorde-group-projects/435/builder,20 Years Experience,6,42,PRM/KA/RERA/1251/310/AG/171114/000400,N/A,Gymnasium; Swimming Pool; Kids' Pool; Football; Cricket; Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Gazebo,Power Backup; 24*7 Water Supply; Party Lawn,24 x 7 Security,Large Green Area,Party Hall; Clubhouse; Amphitheater; Hypermarket
r398215,EIPL Corner Stone,"Gandipet, Hyderabad",Rs1.25 Cr - 2.16 Cr,"Rs9,200 Per Sq. Ft",Under Construction,"2, 3 BHK",1360 Sq. Ft to 2350 Sq. Ft (Saleable),EIPL Group,989 units,9.33 Acres,"The launch date for EIPL Corner Stone in Central Zone, Hyderabad is not available at the moment. However, the project offers thoughtfully designed homes with 2 BHK-3 BHK apartments ranging from 1360 sqft to 2350 sqft. It is conveniently located near reputed schools like Intelli Public School and shopping centres like Sri Balaji Shopping Mall. The project has excellent connectivity to Nehru Outer Ring Road, making it an ideal choice for homebuyers looking for a well-connected and quality living space.",Ask for Details,Gandipet,West Zone,,https://www.squareyards.com/eipl-group-projects/4642/builder,N/A,2,6,REA02400000010,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance,Normal Park / Central Green,Clubhouse; Amphitheater; Indoor Games; Spa; Hypermarket
r331957,Krisumi Waterfall Residences,"Sector 36A, Gurgaon",Rs2.53 Cr - 16.51 Cr,N/A,Partially Ready To Move,"1, 2, 3, 4 BHK",921 Sq. Ft to 6353 Sq. Ft (Saleable),Krisumi Corporation,1405 units,30.38 Acres,Ask for Details,"Sep 02, 2019",Sector 36A,Dwarka Expressway,,https://www.squareyards.com/krisumi-corporation-projects/3210/builder,N/A,1,N/A,660/2017/307,"Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Laminated Wooden; Fittings & Fixtures: VRV AC Fittings; Other Bedrooms-Flooring: Laminated Wooden; Walls: Acrylic Emulsion; Kitchen-Equipments: Modular Kitchen, Hob, Chimney; Bathroom: Shower Panel, Premium Bath Fittings; Structure: RCC Frame Structure; Living Area-Flooring: Engineered Wooden",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; PNG; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Eco Friendly; Large Green Area,Cafe / Coffee Bar; Sauna; Party Hall; Cards Room; Amphitheater; Indoor Games; Spa; Luxurious Clubhouse; Jacuzzi
r369997,Casagrand First City,"Sholinganallur, Chennai",Rs57.00 Lac - 1.04 Cr,N/A,Ready to Move,"2, 3 BHK",920 Sq. Ft to 1671 Sq. Ft (Saleable),Casagrand,1693 units,15 Acres,Ask for Details,Ask for Details,Sholinganallur,Chennai South,,https://www.squareyards.com/casagrand-projects/9761/builder,N/A,25,131,Delhi/Agent/0027/2017,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Football; Cricket; Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Golf Simulator; Indoor Swimming Pool; Rappelling/Rock Climbing,Power Backup; Treated Water Supply; High Speed Elevators; Day Care Center; Pet Area; Car Washing Bays; Driver Area; Laundromat; Guest House; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone,Rain Water Harvesting; Sewage Treatment Plant; Eco Friendly; Large Green Area,Cafe / Coffee Bar; Massage Room; Mini Theatre; Reading Room/Library; Sauna; Party Hall; Clubhouse; Amphitheater; Indoor Games; Conference Room; Spa; Luxurious Clubhouse; Jacuzzi; High Street Retail; Senior Citizen Area
r426835,Tricity Aspire,"Sector 34A Kharghar, Navi Mumbai",Rs1.25 Cr - 1.81 Cr,N/A,New Launch,"2, 3 BHK",622 Sq. Ft to 906 Sq. Ft (Carpet),Tricity Realty,134 units,0.55 Acres,Ask for Details,Ask for Details,Sector 34A Kharghar,CBD Belapur,"Stunning views of NH 4 and Sion Panvel Highway,Stunning views of NH 4 and Sion Panvel Highway,Power backup ensures seamless living experience,High-quality vitrified tiles flooring in master bedroom,Oil-bound distemper finish on master bedroom walls,Fitness enthusiasts rejoice, state-of-the-art gymnasium nearby,Strategically located in Sector 34A, Kharghar",https://www.squareyards.com/tricity-realty-projects/15771/builder,N/A,6,1,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Badminton Court(s); Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Golf Putting; Gazebo,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone,Normal Park / Central Green,Dance Room; Party Hall; Indoor Games; Conference Room; Senior Citizen Area
r395988,Annragh Green Earth,"Sunkalpalya, Bangalore",Rs1.20 Cr - 1.50 Cr,"Rs10,000 Per Sq. Ft",Ready to Move,Ask for Details,1200 Sq. Ft to 1500 Sq. Ft (Saleable),Annragh International,119 units,3.09 Acres,Ask for Details,Ask for Details,Sunkalpalya,West Bangalore,"Situated along Mysore Road N R Road, convenient.,Near NICE Peripheral Ring Road, smooth commute.,Rain Water Harvesting and green surroundings.,24*7 Security and Gymnasium for active lifestyle.,24 x 7 Water Supply for effortless living.",https://www.squareyards.com/annragh-international-projects/23004/builder,N/A,1,N/A,PRM/KA/RERA/1251/310/AG/171114/000400,N/A,Gymnasium; Kids' Play Areas / Sand Pits; Gazebo,24*7 Water Supply,24 x 7 Security,Rain Water Harvesting; Large Green Area,N/A
r213691,Shraddha Panorama,"Mulund West, Mumbai",Rs1.17 Cr - 1.94 Cr,N/A,Under Construction,"1, 2 BHK",411 Sq. Ft to 681 Sq. Ft (Carpet),Shraddha Landmark,218 units,0.71 Acres,Ask for Details,Ask for Details,Mulund West,Mumbai Central Suburbs,,https://www.squareyards.com/shraddha-landmark-projects/3407/builder,12 Years Experience,15,44,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track; Snooker/Pool/Billiards,Power Backup; Treated Water Supply; High Speed Elevators; 24*7 Water Supply; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Normal Park / Central Green,Indoor Games; Senior Citizen Area
r388010,Shikhar Greens,"Rasayani, Navi Mumbai",Rs21.00 Lac - 48.37 Lac,N/A,Under Construction,"1, 2 BHK",333 Sq. Ft to 767 Sq. Ft (Carpet),Shikhar Realty,342 units,2.59 Acres,Ask for Details,Ask for Details,Rasayani,Panvel,"Amenities include 24/7 Power Backup for seamless living.,Strategically located near Savroli Kharpada Road and NH 48.,Experience lush green surroundings in Shikhar Greens, Rasayani.,State-of-the-art gymnasium for a healthy and active lifestyle.,RERA approved project P52000034020, ensuring transparency and quality.",https://www.squareyards.com/shikhar-realty-projects/14751/builder,N/A,2,N/A,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink; Gazebo,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems,Sewage Treatment Plant; Large Green Area,Party Hall; Clubhouse; Indoor Games; Senior Citizen Area
r303,Jaypee Greens Kalypso Court,"Sector 128, Noida",Rs2.24 Cr,"Rs12,500 Per Sq. Ft",Ready to Move,2 BHK,1790 Sq. Ft (Saleable),Jaypee Greens,1172 units,10 Acres,Ask for Details,Ask for Details,Sector 128,Noida Expressway,"Moderate distance from Noida Greater Noida Expressway.,Easy access to Dadri Road and Sector 128.,RERA approved project, UPRERAPRJ4695, for trust and transparency.,Balanced amenities, including gymnasium and power backup.,Sophisticated specification, including laminated wooden flooring.",https://www.squareyards.com/jaypee-greens-projects/161/builder,26 Years Experience,27,49,UPRERAAGT10119,"Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Laminated Wooden; Walls: Acrylic Emulsion; Living Area-Flooring: Italian/Imported Marble; Bathroom: Shower Panel, Premium Bath Fittings; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Badminton Court(s); Tennis Court(s); Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Golf Course,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone,Rain Water Harvesting; Sewage Treatment Plant; Eco Friendly; Large Green Area,Party Hall; Clubhouse; Indoor Games; Jacuzzi
r399946,Nysa Skydale,"Chhani, Vadodara",Price on Request,N/A,Ready to Move,"2, 3 BHK",1430 Sq. Ft to 2500 Sq. Ft (Saleable),Ask for Details,400 units,5.05 Acres,Ask for Details,Ask for Details,Ask for Details,Ask for Details,,N/A,N/A,N/A,N/A,N/A,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Badminton Court(s); Tennis Court(s); Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Skating Rink,Restaurant; Treated Water Supply; Party Lawn,24 x 7 Security; CCTV / Video Surveillance,N/A,Reading Room/Library; Party Hall; Clubhouse; Amphitheater; Indoor Games
