XID,Data Point,Housing,MagicBricks,SquareYards
420301,Total Towers,,,
420301,Rera Number,,,DLRERA2019A0016
421404,Name,SG Vista,SG Vista,SG Vista
421404,Location,"Raj Nagar Extension, Ghaziabad","Raj Nagar Extension, Ghaziabad","Raj Nagar Extension, Ghaziabad"
421404,Builder Name,SG ESTATES,SG Estates Pvt. Ltd.,SG Estates
421404,Price Range,1.43 Cr - 2.14 Cr,1.93 Cr,Rs1.40 Cr - 2.03 Cr
421404,Price per Sq.Ft,,Rs 5660,"Rs7,000 Per Sq. Ft"
421404,BHK,"3, 4 BHK Apartments","3,4 BHK Flats","3, 4 BHK"
421404,Property Type,,Flat,
421404,Project Status,,Ongoing,Under Construction
421404,Launch Date,"Sep, 2023 Avg. Price: 7.26 K/sq.ft",1-Nov-23,Ask for Details
421404,Possession Date,"Aug, 2027",1-Mar-27,Ask for Details
421404,Total Units,,144.0,144 units
421404,Project Size (Acres),1.49 Acres,,1.49 Acres
421404,Amenities Count,,12,
421404,USP,"Property Location Raj Nagar Extension, Ghaziabad Around This Project School Parevartan School Hospital Ramanuuj Hospital 3 mins (1.1 km) Vilayati Adda View more on Maps","144 Exclusive Residences | High End Unit Specifications | 360 Degree Open View | Miniplex with Recliners | Terrace Garden with Barbeque & Sundeck | Golf Simulator | Palm Garden, Chess Garden, Dedicated Pet zone | Lavish Club House, Billiards, TT & Swimming Pool | Basketball court & Coliseum | Grand Entrance Lobby | Metro Station, Approx 5 Minutes drive | Namo Bharat Rapid Metro Approx 7 Minutes drive | Hindon Airport Approx 10 minutes | Connected with Elevated Road to Delhi.",
421404,Builder Experience,,39+ years,
421404,Total Towers,,1,
421404,Rera Number,UPRERAPRJ120209,,UPRERAAGT10119
422426,Name,Sreenidhi Estates Serengeti,GODREJ ZENITH,Godrej Zenith
422426,Location,"Thummallur Village Of Maheshwaram Mandal, Tukkuguda, South Hyderabad, Hyderabad","Sector 89, Gurgaon","Sector 89, Gurgaon"
422426,Builder Name,SREENIDHI ESTATES INDIA PVT LTD.,Godrej Properties,Godrej
422426,Price Range,74.1 L - 14.27 Cr,4.99 Cr,Rs2.06 Cr - 6.12 Cr
422426,Price per Sq.Ft,,Rs 13375,
422426,BHK,0,"2,3,4 BHK Flats","2, 3, 4 BHK"
422426,Property Type,,Flat,
422426,Project Status,,Under Construction,New Launch
422426,Launch Date,"Feb, 2023 Avg. Price: 37 K/sq.yd",1-Mar-24,Ask for Details
422426,Possession Date,"Jan, 2026",1-Mar-31,Ask for Details
422426,Total Units,,180.0,1547 units
422426,Project Size (Acres),53.09 Acres,14 Acre,14.2 Acres
422426,Amenities Count,,27,
422426,USP,"Why Sreenidhi Estates Serengeti? The property is Vastu Compliant. State-of-the-art clubhouse facility featuring a jogging path. Available amenities include a children's play area, car parking, gated community, and club house. Sustainable features provided include solid waste management and rainwater harvesting. View More Highlights","Lavish Double - Height Lobbies | Rooftop Olympic - Length Pool | Secured Homes | 1.4 Km Of Health Loop | 41,000+ sqft 4 Levels Of Clubhouse | 100 M Athletic Tracks | Open Air Theatre | Butterfly Garden | Separate Kids Pool | National Highway 48 is easily accessible | Northern Peripheral Road: Easy Access | Indira Gandhi Airport is 20 minutes away by car | The proposed interstate bus terminal is located adjacent to this site | Close to Metro Station. | Dwarka Expressway is nearby | Surrounded by new residential, commercial, and industrial developments | Near schools, hospitals and shopping centers","Air Purification Technology,3-side Open Apartments,4-Level Clubhouse,A Butterfly Garden,Provide advanced security provisions which enforces five-level security for resident protection,Modern Wellness Centre which is fitted with latest fitness and relaxation,Offers Sporting Arena, supports various sports pursuits,Convenient proximity to NH 48 and Dwarka Expressway for easy commuting,Provides 2 to 4 BHK apartments in sizes of 1,085 to 3,221 sq. ft."
422426,Builder Experience,,35+ years,29 Years Experience
422426,Total Towers,,4,
422426,Rera Number,P02400005911,,660/2017/307
422937,Name,Krisumi Waterside Residence,Krisumi Waterside Residences,Krisumi Waterside Residences
422937,Location,"Sector 36A, Dwarka Expressway, Dwarka Expressway, Gurgaon","Sector 36A, Gurgaon","Sector 36A, Gurgaon"
422937,Builder Name,KRISUMI CORPORATION PVT. LTD.,Krisumi Corporation Pvt. Ltd.,Krisumi Corporation
422937,Price Range,3.83 Cr - 15.69 Cr,4.97 Cr,Rs3.65 Cr - 12.32 Cr
422937,Price per Sq.Ft,,Rs 17699,
422937,BHK,"2, 3, 4 BHK Apartments","2,3,4,5 BHK Flat, Penthouses","2, 3, 4 BHK"
422937,Property Type,,"Flat, Penthouse",
422937,Project Status,,Under Construction,New Launch
422937,Launch Date,"Apr, 2024 Avg. Price: 22 K/sq.ft",01 May 2024,Ask for Details
422937,Possession Date,"Apr, 2029",01 October 2029,Ask for Details
422937,Total Units,,900.0,720 units
422937,Project Size (Acres),5.5 Acres,65 Acre,5.09 Acres
422937,Amenities Count,,8,
422937,USP,Why Krisumi Waterside Residence? Design & Architecture : NIKKEN SEKKEI LTD,Offer a high standard of living. | 450 luxury apartments of more than 1.2 million square feet | The entire 65-acre township will be built in phases over 10 years of time | 2 Widest Roads in Gurugram's NPR and CPR | 3 Minute Drive to NH-48 | Planned Mass Rapid Transit System along NPR and CPR | Encircled by 220 acres of Green Zone and a 50-metre Green Belt | Adjacent to Gurugram’s Newest Business Centre | Unhindered Connectivity to IGI Airport,"Strategically located near NH 8 and Dwarka Expressway for seamless connectivity.,Luxurious amenities including gymnasium, power backup, and 24x7 security.,Unparalleled water harvesting system, perfect for eco-friendly living.,Spacious master bedrooms with acrylic emulsion walls and VRV AC fittings.,Opportunity to own a 2.5 acres of serene surroundings in Sector 36A."
422937,Builder Experience,,35+ years,
422937,Total Towers,,3,
422937,Rera Number,GGM/812/544/2024/39,,660/2017/307
423388,Name,Puri Diplomatic Residences,Puri Diplomatic Residences,Puri Diplomatic Residences
423388,Location,"Sector 111, Dwarka Expressway, Gurgaon","Sector 111, Gurgaon","Sector 111, Gurgaon"
423388,Builder Name,PURI CONSTRUCTIONS PVT LTD,Puri Constructions,Puri
423388,Price Range,3.96 Cr - 4.39 Cr,6.95 Cr,Rs4.23 Cr - 7.30 Cr
423388,Price per Sq.Ft,,Rs 13613,
423388,BHK,"3, 4 BHK Apartments","3,4 BHK Flats","3, 4 BHK"
423388,Property Type,,Flat,
423388,Project Status,,Under Construction,New Launch
423388,Launch Date,"Apr, 2024 Avg. Price: 17.67 K/sq.ft",1-Feb-24,Ask for Details
423388,Possession Date,"Mar, 2031",1-Mar-32,Ask for Details
423388,Total Units,,600.0,692 units
423388,Project Size (Acres),9.07 Acres,21 Acre,5.41 Acres
423388,Amenities Count,,11,
423388,USP,Why Puri Diplomatic Residences? Roof-top and an all-weather indoor swimming pool in the stilt area Air conditioned 18 feet double height entrance lobby Stunning free flowing landscapes at ground and podium level Sculptured staircases with easy steps for effortless movement The project has EV charging station,6 Highrise Luxury Towers of G+32 | Landscaped Stilts & Designer Drop-Off Porch | Luxury of Swimming Pools | Indoor Badminton Court | Experience Private Dining & Refined Night Life | Master Bedroom with Laminated Wooden Flooring | Kitchen Equipped with Modular Fitting | Technogym Equipment & A Professional Boxing Ring | Roof top Swimming Under The Open Sky | Landscapes at Ground & Podium Level | Near Diplomatic Enclave 2 & IGI Airport | Near Manipal Hospital & Delhi Public School,"Easily accessible near Old Delhi Gurgaon Road and Dwarka Expressway.,Strategically located for seamless connectivity to NH 8.,Affordable luxury apartments with RERA-approved status.,Unwind with top-notch amenities like gym, power backup, and 24x7 security.,Exclusive features like mini theatre, rainwater harvesting, and eco-friendly design."
423388,Builder Experience,,75 Years,42 Years Experience
423388,Total Towers,,6,
423388,Rera Number,GGM/787/519/2024/14 DATED 19.02.2024,,660/2017/307
423473,Name,Anant Raj The Estate Residences,Anant The Estate Residences,Anant Raj The Estate Residences
423473,Location,"Sector 63A, Gurgaon","Sector 63A, Gurgaon","Sector 63A, Gurgaon"
423473,Builder Name,ANANT RAJ LIMITED,Anant Raj Global Limited,Anant Raj
423473,Price Range,6.68 Cr - 8.46 Cr,10.04 Cr,Rs8.16 Cr - 10.52 Cr
423473,Price per Sq.Ft,,Rs 19000,"Rs22,000 Per Sq. Ft"
423473,BHK,0,4 BHK Flats,4 BHK
423473,Property Type,,Flat,
423473,Project Status,,Under Construction,New Launch
423473,Launch Date,"Feb, 2024 Avg. Price: 32.71 K/sq.ft",1-Jan-24,Ask for Details
423473,Possession Date,"Mar, 2030",1-Mar-30,Ask for Details
423473,Total Units,,248.0,248 units
423473,Project Size (Acres),5.43 Acres,5 Acre,5.5 Acres
423473,Amenities Count,,21,
423473,USP,"Property Location Sector 63A, Gurgaon Around This Project School DAV POLICE PUBLIC SCHOOL, GURUGRAM 4 mins (2.3 km) Hospital Marengo Asia Hospitals, Gurugram 7 mins (4.3 km) Sector 55-56 Metro Station View more on Maps","Club 40,000 sqft spread over G+3 | Temperature Controlled Swimming Pool | 3 Level Basement Parking Space | Units Per Floor 2 | IGBC Green Homes Rating | Sunken Garden Boasts of Lush Greenery & Beauty | Bedroom with a Lockable Walk-In Closet | Wrap around balconies with stunning nature views | Triple Height Grand Entrance Lobby | Podium Greens with Vehicle Free Zone | DPS International Edge - 8 mins | Sohna Road - 10 mins | DLF Cyber City - 20 mins | Golf Course Road - 5 mins | Iffco Chowk - 18 mins | DLF Golf & Country Club - 15 mins | Rapid Metro Station - 5 mins | Marengo Asia Hospital - 3 mins | Grand Hyatt Gurgaon - 2 mins | Gurugram University - 15 mins","Experience luxurious living near Golf Course Extension Road, Gurgaon.,Enjoy modern amenities like power backup and gymnasium at The Estate Residences.,Explore spacious 4 BHK apartments with areas ranging from 3710 to 4781 Sq. Ft.,Get perfectly secured living with master bedroom walls finished with oil bound distemper.,Invest in a strategic location with proximity to Sohna Gurgaon Road and Sector 63A.,Discover a haven of comfort at The Estate Residences, perfect for a luxurious and tranquil living."
423473,Builder Experience,,23+ years,50 Years Experience
423473,Total Towers,,4,
423473,Rera Number,Not Found,,660/2017/307
424568,Name,JMS Premier Floors,JMS Premier Floors,JMS Premier Floors
424568,Location,"Sector 95, New Gurgaon, Gurgaon","Sector 95, Gurgaon","Sector 95, Gurgaon"
424568,Builder Name,JMS BUILDTECH PVT. LTD.,JMS Buildtech,JMS Group
424568,Price Range,1.09 Cr - 1.95 Cr,1.11 Cr,Rs1.09 Cr - 1.37 Cr
424568,Price per Sq.Ft,,Rs 5535,
424568,BHK,"2, 2.5, 3, 3.5 BHK Apartments","2,3 BHK Builder Floors","2, 3 BHK"
424568,Property Type,,Builder Floor,
424568,Project Status,,Under Construction,New Launch
424568,Launch Date,"May, 2023 Avg. Price: 8.11 K - 8.63 K/sq.ft",1-Feb-24,Ask for Details
424568,Possession Date,"Dec, 2026",1-Dec-26,Ask for Details
424568,Total Units,,36.0,92 units
424568,Project Size (Acres),22.34 Acres,22 Acre,0.23 Acres
424568,Amenities Count,,0,
424568,USP,"Why JMS Premier Floors? JMS Premier Floors provides comfortable and luxurious living space, and weu2019ve gone above and beyond to create homes that cater to your every need Amenities which not only provide comfort and elegance but a life where indulgence meets the charm of nature Easy and smooth connectivity from Pataudi Road, Northern Peripheral Road, NH48 & KMP Expressway View More Highlights","JMS Premier Floors provides comfortable and luxurious living space, and weu2019ve gone above and beyond to create homes that cater to your every need | Amenities which not only provide comfort and elegance but a life where indulgence meets the charm of nature | Easy and smooth connectivity from Pataudi Road, Northern Peripheral Road, NH48 & KMP Expressway | Perennial Garden is available","Strategic connectivity to Dwarka Expressway and Pataudi Road.,Luxurious amenities like power backup facility.,Affordable and spacious floor options with varying sizes.,Premium specification include acrylic emulsion walls.,Laminated wooden flooring in master bedroom, a class apart."
424568,Builder Experience,,12+ years,
424568,Total Towers,,1,
424568,Rera Number,GGM/801/533/2024/28 DATED 18.03.2024,,660/2017/307
424568,Name,JMS Premier Floors,JMS Premier Floors,JMS Premier Floors
424568,Location,"Sector 95, New Gurgaon, Gurgaon","Sector 95, Gurgaon","Sector 95, Gurgaon"
424568,Builder Name,JMS BUILDTECH PVT. LTD.,JMS Buildtech,JMS Group
424568,Price Range,1.09 Cr - 1.95 Cr,1.11 Cr,Rs1.09 Cr - 1.37 Cr
424568,Price per Sq.Ft,,Rs 5535,
424568,BHK,"2, 2.5, 3, 3.5 BHK Apartments","2,3 BHK Builder Floors","2, 3 BHK"
424568,Property Type,,Builder Floor,
424568,Project Status,,Under Construction,New Launch
424568,Launch Date,"May, 2023 Avg. Price: 8.11 K - 8.63 K/sq.ft",1-Feb-24,Ask for Details
424568,Possession Date,"Dec, 2026",1-Dec-26,Ask for Details
424568,Total Units,,36.0,92 units
424568,Project Size (Acres),22.34 Acres,22 Acre,0.23 Acres
424568,Amenities Count,,0,
424568,USP,"Why JMS Premier Floors? JMS Premier Floors provides comfortable and luxurious living space, and weu2019ve gone above and beyond to create homes that cater to your every need Amenities which not only provide comfort and elegance but a life where indulgence meets the charm of nature Easy and smooth connectivity from Pataudi Road, Northern Peripheral Road, NH48 & KMP Expressway View More Highlights","JMS Premier Floors provides comfortable and luxurious living space, and weu2019ve gone above and beyond to create homes that cater to your every need | Amenities which not only provide comfort and elegance but a life where indulgence meets the charm of nature | Easy and smooth connectivity from Pataudi Road, Northern Peripheral Road, NH48 & KMP Expressway | Perennial Garden is available","Strategic connectivity to Dwarka Expressway and Pataudi Road.,Luxurious amenities like power backup facility.,Affordable and spacious floor options with varying sizes.,Premium specification include acrylic emulsion walls.,Laminated wooden flooring in master bedroom, a class apart."
424568,Builder Experience,,12+ years,
424568,Total Towers,,1,
424568,Rera Number,GGM/801/533/2024/28 DATED 18.03.2024,,660/2017/307
424568,Name,JMS Premier Floors,JMS Premier Floors,JMS Premier Floors
424568,Location,"Sector 95, New Gurgaon, Gurgaon","Sector 95, Gurgaon","Sector 95, Gurgaon"
424568,Builder Name,JMS BUILDTECH PVT. LTD.,JMS Buildtech,JMS Group
424568,Price Range,1.09 Cr - 1.95 Cr,,Rs1.09 Cr - 1.37 Cr
424568,Price per Sq.Ft,,Rs 5535,
424568,BHK,"2, 2.5, 3, 3.5 BHK Apartments","2,3 BHK Builder Floors","2, 3 BHK"
424568,Property Type,,,
424568,Project Status,,,New Launch
424568,Launch Date,"May, 2023 Avg. Price: 8.11 K - 8.63 K/sq.ft",,Ask for Details
424568,Possession Date,"Dec, 2026",,Ask for Details
424568,Total Units,,36.0,92 units
424568,Project Size (Acres),22.34 Acres,22 Acre,0.23 Acres
424568,Amenities Count,,0,
424568,USP,"Why JMS Premier Floors? JMS Premier Floors provides comfortable and luxurious living space, and weu2019ve gone above and beyond to create homes that cater to your every need Amenities which not only provide comfort and elegance but a life where indulgence meets the charm of nature Easy and smooth connectivity from Pataudi Road, Northern Peripheral Road, NH48 & KMP Expressway View More Highlights","JMS Premier Floors provides comfortable and luxurious living space, and weu2019ve gone above and beyond to create homes that cater to your every need | Amenities which not only provide comfort and elegance but a life where indulgence meets the charm of nature | Easy and smooth connectivity from Pataudi Road, Northern Peripheral Road, NH48 & KMP Expressway | Perennial Garden is available","Strategic connectivity to Dwarka Expressway and Pataudi Road.,Luxurious amenities like power backup facility.,Affordable and spacious floor options with varying sizes.,Premium specification include acrylic emulsion walls.,Laminated wooden flooring in master bedroom, a class apart."
424568,Builder Experience,,12+ years,
424568,Total Towers,,,
424568,Rera Number,GGM/801/533/2024/28 DATED 18.03.2024,,660/2017/307
424568,Name,JMS Premier Floors,JMS Premier Floors,JMS Premier Floors
424568,Location,"Sector 95, New Gurgaon, Gurgaon","Sector 95, Gurgaon","Sector 95, Gurgaon"
424568,Builder Name,JMS BUILDTECH PVT. LTD.,JMS Buildtech,JMS Group
424568,Price Range,1.09 Cr - 1.95 Cr,,Rs1.09 Cr - 1.37 Cr
424568,Price per Sq.Ft,,Rs 5535,
424568,BHK,"2, 2.5, 3, 3.5 BHK Apartments","2,3 BHK Builder Floors","2, 3 BHK"
424568,Property Type,,,
424568,Project Status,,,New Launch
424568,Launch Date,"May, 2023 Avg. Price: 8.11 K - 8.63 K/sq.ft",,Ask for Details
424568,Possession Date,"Dec, 2026",,Ask for Details
424568,Total Units,,36.0,92 units
424568,Project Size (Acres),22.34 Acres,22 Acre,0.23 Acres
424568,Amenities Count,,0,
424568,USP,"Why JMS Premier Floors? JMS Premier Floors provides comfortable and luxurious living space, and weu2019ve gone above and beyond to create homes that cater to your every need Amenities which not only provide comfort and elegance but a life where indulgence meets the charm of nature Easy and smooth connectivity from Pataudi Road, Northern Peripheral Road, NH48 & KMP Expressway View More Highlights","JMS Premier Floors provides comfortable and luxurious living space, and weu2019ve gone above and beyond to create homes that cater to your every need | Amenities which not only provide comfort and elegance but a life where indulgence meets the charm of nature | Easy and smooth connectivity from Pataudi Road, Northern Peripheral Road, NH48 & KMP Expressway | Perennial Garden is available","Strategic connectivity to Dwarka Expressway and Pataudi Road.,Luxurious amenities like power backup facility.,Affordable and spacious floor options with varying sizes.,Premium specification include acrylic emulsion walls.,Laminated wooden flooring in master bedroom, a class apart."
424568,Builder Experience,,12+ years,
424568,Total Towers,,,
424568,Rera Number,GGM/801/533/2024/28 DATED 18.03.2024,,660/2017/307
424568,Name,JMS Premier Floors,JMS Premier Floors,JMS Premier Floors
424568,Location,"Sector 95, New Gurgaon, Gurgaon","Sector 95, Gurgaon","Sector 95, Gurgaon"
424568,Builder Name,JMS BUILDTECH PVT. LTD.,JMS Buildtech,JMS Group
424568,Price Range,1.09 Cr - 1.95 Cr,1.11 Cr,Rs1.09 Cr - 1.37 Cr
424568,Price per Sq.Ft,,Rs 5535,
424568,BHK,"2, 2.5, 3, 3.5 BHK Apartments","2,3 BHK Builder Floors","2, 3 BHK"
424568,Property Type,,Builder Floor,
424568,Project Status,,Under Construction,New Launch
424568,Launch Date,"May, 2023 Avg. Price: 8.11 K - 8.63 K/sq.ft",1-Feb-24,Ask for Details
424568,Possession Date,"Dec, 2026",1-Dec-26,Ask for Details
424568,Total Units,,36.0,92 units
424568,Project Size (Acres),22.34 Acres,22 Acre,0.23 Acres
424568,Amenities Count,,0,
424568,USP,"Why JMS Premier Floors? JMS Premier Floors provides comfortable and luxurious living space, and weu2019ve gone above and beyond to create homes that cater to your every need Amenities which not only provide comfort and elegance but a life where indulgence meets the charm of nature Easy and smooth connectivity from Pataudi Road, Northern Peripheral Road, NH48 & KMP Expressway View More Highlights","JMS Premier Floors provides comfortable and luxurious living space, and weu2019ve gone above and beyond to create homes that cater to your every need | Amenities which not only provide comfort and elegance but a life where indulgence meets the charm of nature | Easy and smooth connectivity from Pataudi Road, Northern Peripheral Road, NH48 & KMP Expressway | Perennial Garden is available","Strategic connectivity to Dwarka Expressway and Pataudi Road.,Luxurious amenities like power backup facility.,Affordable and spacious floor options with varying sizes.,Premium specification include acrylic emulsion walls.,Laminated wooden flooring in master bedroom, a class apart."
424568,Builder Experience,,12+ years,
424568,Total Towers,,1,
424568,Rera Number,GGM/801/533/2024/28 DATED 18.03.2024,,660/2017/307
424568,Name,JMS Premier Floors,JMS Premier Floors,JMS Premier Floors
424568,Location,"Sector 95, New Gurgaon, Gurgaon","Sector 95, Gurgaon","Sector 95, Gurgaon"
424568,Builder Name,JMS BUILDTECH PVT. LTD.,JMS Buildtech,JMS Group
424568,Price Range,1.09 Cr - 1.95 Cr,1.11 Cr,Rs1.09 Cr - 1.37 Cr
424568,Price per Sq.Ft,,Rs 5535,
424568,BHK,"2, 2.5, 3, 3.5 BHK Apartments","2,3 BHK Builder Floors","2, 3 BHK"
424568,Property Type,,Builder Floor,
424568,Project Status,,Under Construction,New Launch
424568,Launch Date,"May, 2023 Avg. Price: 8.11 K - 8.63 K/sq.ft",1-Feb-24,Ask for Details
424568,Possession Date,"Dec, 2026",1-Dec-26,Ask for Details
424568,Total Units,,36.0,92 units
424568,Project Size (Acres),22.34 Acres,22 Acre,0.23 Acres
424568,Amenities Count,,0,
424568,USP,"Why JMS Premier Floors? JMS Premier Floors provides comfortable and luxurious living space, and weu2019ve gone above and beyond to create homes that cater to your every need Amenities which not only provide comfort and elegance but a life where indulgence meets the charm of nature Easy and smooth connectivity from Pataudi Road, Northern Peripheral Road, NH48 & KMP Expressway View More Highlights","JMS Premier Floors provides comfortable and luxurious living space, and weu2019ve gone above and beyond to create homes that cater to your every need | Amenities which not only provide comfort and elegance but a life where indulgence meets the charm of nature | Easy and smooth connectivity from Pataudi Road, Northern Peripheral Road, NH48 & KMP Expressway | Perennial Garden is available","Strategic connectivity to Dwarka Expressway and Pataudi Road.,Luxurious amenities like power backup facility.,Affordable and spacious floor options with varying sizes.,Premium specification include acrylic emulsion walls.,Laminated wooden flooring in master bedroom, a class apart."
424568,Builder Experience,,12+ years,
424568,Total Towers,,1,
424568,Rera Number,GGM/801/533/2024/28 DATED 18.03.2024,,660/2017/307
424568,Name,JMS Premier Floors,JMS Premier Floors,JMS Premier Floors
424568,Location,"Sector 95, New Gurgaon, Gurgaon","Sector 95, Gurgaon","Sector 95, Gurgaon"
424568,Builder Name,JMS BUILDTECH PVT. LTD.,JMS Buildtech,JMS Group
424568,Price Range,1.09 Cr - 1.95 Cr,,Rs1.09 Cr - 1.37 Cr
424568,Price per Sq.Ft,,Rs 5535,
424568,BHK,"2, 2.5, 3, 3.5 BHK Apartments","2,3 BHK Builder Floors","2, 3 BHK"
424568,Property Type,,,
424568,Project Status,,,New Launch
424568,Launch Date,"May, 2023 Avg. Price: 8.11 K - 8.63 K/sq.ft",,Ask for Details
424568,Possession Date,"Dec, 2026",,Ask for Details
424568,Total Units,,36.0,92 units
424568,Project Size (Acres),22.34 Acres,22 Acre,0.23 Acres
424568,Amenities Count,,0,
424568,USP,"Why JMS Premier Floors? JMS Premier Floors provides comfortable and luxurious living space, and weu2019ve gone above and beyond to create homes that cater to your every need Amenities which not only provide comfort and elegance but a life where indulgence meets the charm of nature Easy and smooth connectivity from Pataudi Road, Northern Peripheral Road, NH48 & KMP Expressway View More Highlights","JMS Premier Floors provides comfortable and luxurious living space, and weu2019ve gone above and beyond to create homes that cater to your every need | Amenities which not only provide comfort and elegance but a life where indulgence meets the charm of nature | Easy and smooth connectivity from Pataudi Road, Northern Peripheral Road, NH48 & KMP Expressway | Perennial Garden is available","Strategic connectivity to Dwarka Expressway and Pataudi Road.,Luxurious amenities like power backup facility.,Affordable and spacious floor options with varying sizes.,Premium specification include acrylic emulsion walls.,Laminated wooden flooring in master bedroom, a class apart."
424568,Builder Experience,,12+ years,
424568,Total Towers,,,
424568,Rera Number,GGM/801/533/2024/28 DATED 18.03.2024,,660/2017/307
424568,Name,JMS Premier Floors,JMS Premier Floors,JMS Premier Floors
424568,Location,"Sector 95, New Gurgaon, Gurgaon","Sector 95, Gurgaon","Sector 95, Gurgaon"
424568,Builder Name,JMS BUILDTECH PVT. LTD.,JMS Buildtech,JMS Group
424568,Price Range,1.09 Cr - 1.95 Cr,,Rs1.09 Cr - 1.37 Cr
424568,Price per Sq.Ft,,Rs 5535,
424568,BHK,"2, 2.5, 3, 3.5 BHK Apartments","2,3 BHK Builder Floors","2, 3 BHK"
424568,Property Type,,,
424568,Project Status,,,New Launch
424568,Launch Date,"May, 2023 Avg. Price: 8.11 K - 8.63 K/sq.ft",,Ask for Details
424568,Possession Date,"Dec, 2026",,Ask for Details
424568,Total Units,,36.0,92 units
424568,Project Size (Acres),22.34 Acres,22 Acre,0.23 Acres
424568,Amenities Count,,0,
424568,USP,"Why JMS Premier Floors? JMS Premier Floors provides comfortable and luxurious living space, and weu2019ve gone above and beyond to create homes that cater to your every need Amenities which not only provide comfort and elegance but a life where indulgence meets the charm of nature Easy and smooth connectivity from Pataudi Road, Northern Peripheral Road, NH48 & KMP Expressway View More Highlights","JMS Premier Floors provides comfortable and luxurious living space, and weu2019ve gone above and beyond to create homes that cater to your every need | Amenities which not only provide comfort and elegance but a life where indulgence meets the charm of nature | Easy and smooth connectivity from Pataudi Road, Northern Peripheral Road, NH48 & KMP Expressway | Perennial Garden is available","Strategic connectivity to Dwarka Expressway and Pataudi Road.,Luxurious amenities like power backup facility.,Affordable and spacious floor options with varying sizes.,Premium specification include acrylic emulsion walls.,Laminated wooden flooring in master bedroom, a class apart."
424568,Builder Experience,,12+ years,
424568,Total Towers,,,
424568,Rera Number,GGM/801/533/2024/28 DATED 18.03.2024,,660/2017/307
425033,Name,ACE Terra,Ace Terra,ACE Terra
425033,Location,"Plot P5 And P6, TS-02/A, Sector 22D, Near Jewar Airport At Yamuna Expressway, Yamuna Expressway, Greater Noida","Yamuna Expressway, Greater Noida","Sector 22D Yamuna Expressway, Greater Noida"
425033,Builder Name,ACE GROUP,ACE Group,ACE
425033,Price Range,1.76 Cr - 3.02 Cr,,Rs1.77 Cr - 3.02 Cr
425033,Price per Sq.Ft,,Rs 5000,"Rs9,995 Per Sq. Ft"
425033,BHK,"3, 4 BHK Apartments","3,4 BHK Flats","3, 4 BHK"
425033,Property Type,,,
425033,Project Status,,,New Launch
425033,Launch Date,"Feb, 2024 Avg. Price: 9.97 K/sq.ft",,Ask for Details
425033,Possession Date,"Dec, 2028",,Ask for Details
425033,Total Units,,1166.0,1166 units
425033,Project Size (Acres),11 Acres,11 Acre,11 Acres
425033,Amenities Count,,47,
425033,USP,"ACE Terra Overview Download Brochure Project Area 11 Acres Sizes 1770 - 3025 sq.ft. Project Size 12 Buildings - 1166 units Launch Date Feb, 2024 Avg. Price 9.97 K/sq.ft Possession Starts Dec, 2028 Configurations 3, 4 BHK Apartments Rera Id UPRERAPRJ683816/04/2024 Check RERA Status Share Save Ask For Details",12 MAJESTIC TOWERS OF 25 STOREYS | EXCLUSIVE LIFESTYLE AMENITIES | 3 AND 4 BED HOMES WITH SPACIOUS DECKS | EXCELLENT CONNECTIVITY | ABUNDANT GREEN SPACE | WATER FEATURES | Well connected to Faridabad-Noida -Ghaziabad expressway | 7 Min from Galgotias University,"Strategically located on Eastern Peripheral Expressway and Yamuna Expressway,Spacious 3, 3.5, and 4 BHK apartments with ample living space,Complimented by world-class amenities like gymnasium and power backup,Excellent connectivity and proximity to major highways and corridors,Luxurious interiors with premium finishes and high-quality construction,Promising a retreat-like living experience in a serene and peaceful setting"
425033,Builder Experience,,15+ years,14 Years Experience
425033,Total Towers,,,
425033,Rera Number,UPRERAPRJ683816/04/2024,,UPRERAAGT10119
425712,Name,Sikka Kaamya Greens,,SKA Destiny One
425712,Location,"GH- 02B, Sector 10, Noida Extension, Greater Noida",,"Zeta I Greater Noida, Greater Noida"
425712,Builder Name,SIKKA GROUP,,SKA Group
425712,Price Range,84.55 L - 2.04 Cr,,Rs1.66 Cr - 2.47 Cr
425712,Price per Sq.Ft,,,
425712,BHK,"2, 3, 4 BHK Apartments",,"3, 4 BHK"
425712,Property Type,,,
425712,Project Status,,,New Launch
425712,Launch Date,"May, 2014 Avg. Price: 9.5 K/sq.ft",,Ask for Details
425712,Possession Date,"Dec, 2021",,Ask for Details
425712,Total Units,,,645 units
425712,Project Size (Acres),6 Acres (75% open),,6 Acres
425712,Amenities Count,,0,
425712,USP,"Why Sikka Kaamya Greens? Luxurious properties Enhanced living with amenities like club house, children play area Schools are within easy reach",,
425712,Builder Experience,,,
425712,Total Towers,,,
425712,Rera Number,UPRERAPRJ5790,,UPRERAAGT10119
426159,Name,Ska Destiny One,Nimbus The Palm Village,Nimbus The Palm Village
426159,Location,"Ats Dolce, Zeta I, Zeta, Greater Noida to SKA Destiny One, Zeta 1,, Zeta, Greater Noida","Yamuna Expressway, Greater Noida","Sector 22A Yamuna Expressway, Greater Noida"
426159,Builder Name,SKA GROUP,IITL Nimbus The Palm Village,Nimbus
426159,Price Range,1.99 Cr - 3.73 Cr,,Rs55.00 Lac - 1.69 Cr
426159,Price per Sq.Ft,,Rs 7139,
